id_permiso,id_instalacion,patente_barco,fecha_atraque,fecha_salida
1,140,DK4889,2018-04-20 06:06:35,2018-04-27 23:05:22
2,179,NN8091,2015-05-06 12:46:36,2015-05-10 11:47:27
3,51,NT2280,2011-08-17 07:29:06,2011-08-31 22:37:39
4,83,UJ2611,2017-12-24 07:51:47,2018-01-04 02:06:45
5,76,AI9121,2019-06-29 02:45:33,2019-07-04 19:21:17
6,30,TG8958,2018-02-28 07:06:16,2018-03-14 04:02:30
7,29,ZP4420,2020-10-27 20:37:49,2020-10-28 11:03:15
8,116,NX3376,2017-06-17 12:12:29,2017-06-22 03:02:33
9,43,IX1197,2021-07-22 07:14:50,2021-07-23 06:38:09
10,126,GS9663,2021-01-15 03:33:43,2021-01-15 20:51:43
11,113,IX1197,2020-11-25 00:28:10,2020-11-25 15:33:55
12,109,SV9482,2020-09-17 02:48:54,2020-09-27 19:13:59
13,69,RO9221,2020-04-11 20:34:46,2020-04-18 14:55:23
14,94,RP8314,2020-09-11 13:15:38,2020-09-22 07:26:05
15,25,MY3367,2011-08-22 23:52:28,2011-09-01 20:14:47
16,15,WW2485,2017-08-09 02:19:41,2017-08-14 23:05:05
17,122,QJ1463,2020-07-27 09:06:46,2020-08-05 06:47:53
18,159,OT5458,2021-05-11 07:46:01,2021-05-21 02:54:41
19,79,UZ5981,2019-10-23 18:39:01,2019-11-02 09:44:20
20,113,PJ3020,2019-03-04 01:49:48,2019-03-18 16:50:34
21,70,XP9141,2014-08-06 13:46:49,2014-08-20 11:11:52
22,33,RA3983,2011-06-04 05:02:34,2011-06-15 00:10:17
23,214,YC1851,2020-10-17 04:13:53,2020-10-17 21:39:29
24,189,DG5218,2020-10-30 00:12:52,2020-10-30 22:23:51
25,38,VW7522,2012-09-25 23:55:54,2012-10-02 14:09:47
26,60,AM9504,2020-09-01 18:29:23,2020-09-11 11:02:39
27,91,QJ6353,2019-01-31 10:28:50,2019-02-09 09:54:03
28,50,DT6703,2012-02-18 08:38:35,2012-02-29 03:03:56
29,116,FO3430,2021-01-13 17:40:56,2021-01-14 12:39:51
30,49,AU5998,2021-04-01 00:09:50,2021-04-01 20:48:52
31,104,MO4968,2021-06-19 05:17:54,2021-06-20 03:58:24
32,51,FS3778,2019-03-16 21:55:49,2019-03-28 20:58:50
33,9,ON7101,2017-01-25 03:34:12,2017-02-03 18:22:26
34,83,DV6261,2019-07-31 22:56:09,2019-08-11 15:39:42
35,63,PZ3477,2010-09-22 06:16:17,2010-09-30 22:59:32
36,105,DA9671,2021-02-04 12:12:33,2021-02-05 11:25:59
37,94,RV9799,2016-04-21 05:46:57,2016-04-28 00:04:22
38,101,HK6767,2010-03-19 23:07:33,2010-03-26 22:25:32
39,58,HK6767,2019-10-17 15:54:18,2019-10-26 12:41:41
40,169,VP2429,2021-09-06 04:02:26,2021-09-20 18:08:36
41,214,FE1567,2016-12-25 05:03:19,2017-01-09 03:15:19
42,30,OH1392,2020-11-12 17:07:56,2020-11-13 09:40:38
43,48,UJ2611,2013-07-26 06:45:21,2013-08-05 04:55:56
44,51,RW4421,2017-02-14 21:56:27,2017-02-26 19:31:51
45,83,VG7905,2017-05-19 23:17:39,2017-06-01 19:31:24
46,10,ED5736,2019-02-19 02:14:08,2019-03-03 01:19:42
47,6,ZV9679,2017-02-09 21:50:19,2017-02-24 21:46:47
48,43,ZV8179,2016-07-16 00:43:30,2016-07-22 20:19:47
49,94,RH8308,2021-01-09 04:49:05,2021-01-15 04:23:52
50,191,NX3376,2020-12-08 06:17:17,2020-12-09 05:22:08
51,91,PR9667,2021-05-01 02:45:37,2021-05-13 19:34:14
52,134,DY6365,2021-07-03 18:49:48,2021-07-04 18:01:32
53,187,FI2331,2021-01-11 15:52:07,2021-01-12 06:15:54
54,83,FS3778,2011-11-21 03:04:28,2011-11-27 02:57:04
55,34,IX1197,2021-04-07 10:04:16,2021-04-22 02:50:58
