id_permiso,id_instalacion,patente_barco,fecha_atraque,actividad
344,155,FN4513,2020-04-30 03:34:07,descarga de cointainers
529,78,NQ5495,2021-03-16 14:54:25,se debe descargar petroleo
536,73,BI5654,2016-12-23 15:19:51,descarga de cointainers
535,172,KY2131,2013-07-24 00:33:44,carga de cointainers
354,205,KQ3854,2014-12-05 05:31:35,descarga de pescados
487,16,HB3228,2020-12-07 04:22:22,se debe cargar petroleo
334,5,OT5458,2019-02-23 05:21:21,descarga de cointainers
530,163,PB7290,2020-08-06 07:17:14,descarga de pescados
524,151,XP9141,2012-11-04 17:31:26,descarga de pescados
436,55,DT6703,2012-01-07 22:59:27,se debe descargar petroleo
236,118,AY3986,2021-02-14 15:48:52,se debe cargar petroleo
468,190,PR9667,2021-02-25 14:34:53,descarga de cointainers
540,98,OF1501,2013-09-05 14:23:50,descarga de pescados
421,120,TJ7818,2021-07-04 22:26:56,se debe cargar petroleo
304,12,RQ2918,2010-09-08 03:27:04,descarga de pescados
148,188,WX5990,2021-07-04 20:42:59,carga de cointainers
479,199,KQ3854,2013-06-19 05:05:59,descarga de pescados
497,84,DA9671,2013-09-15 21:11:56,descarga de pescados
217,178,YE6286,2017-11-28 08:44:18,descarga de pescados
417,142,DY6365,2017-02-15 15:26:49,carga de cointainers
531,124,PJ3020,2021-07-09 01:26:55,se debe cargar petroleo
381,194,NT2280,2019-09-05 14:26:48,se debe descargar petroleo
528,24,MN1612,2015-01-15 19:06:23,descarga de pescados
413,127,DA9671,2017-07-27 00:42:30,descarga de pescados
505,156,DC7834,2013-10-17 17:36:32,descarga de pescados
508,212,XP9141,2016-08-17 06:32:12,descarga de pescados
500,27,UL8619,2013-03-09 14:02:05,descarga de pescados
461,54,CC4639,2020-10-22 15:52:56,descarga de pescados
520,95,DA9671,2020-12-02 17:01:05,descarga de pescados
495,90,EB3227,2014-07-01 08:53:57,se debe cargar petroleo
391,11,KH8053,2018-05-09 13:00:52,descarga de pescados
418,102,OI4579,2015-12-11 19:23:14,descarga de cointainers
501,154,QC1164,2020-11-21 03:49:49,se debe descargar petroleo
415,85,BN3951,2020-11-06 19:02:59,descarga de cointainers
469,177,CC4639,2013-07-28 16:07:22,descarga de pescados
445,186,VI7863,2021-07-07 12:44:23,descarga de cointainers
407,198,PZ3477,2017-12-16 11:18:16,descarga de cointainers
456,144,ZX2922,2011-03-04 02:02:06,descarga de pescados
502,59,RO9221,2012-12-20 23:03:27,se debe descargar petroleo
543,61,QJ6353,2013-09-15 03:57:09,se debe descargar petroleo
437,22,RP8314,2010-10-10 09:18:56,descarga de cointainers
491,121,EV7485,2018-10-11 04:54:28,se debe descargar petroleo
492,40,FO3430,2019-12-27 20:24:43,descarga de pescados
490,170,ST8633,2021-05-26 21:00:42,descarga de pescados
444,215,RQ2918,2016-09-14 19:32:09,descarga de pescados
496,23,DS0478,2019-04-29 01:13:30,carga de cointainers
446,39,UO8744,2011-07-31 23:05:51,descarga de pescados
470,150,PZ3477,2011-02-25 02:10:31,carga de cointainers
518,20,FN4513,2014-10-06 07:07:24,carga de cointainers
527,162,YP3858,2021-04-07 19:57:46,descarga de pescados
538,185,WK4832,2013-05-26 12:29:53,se debe descargar petroleo
320,64,MO4968,2010-12-08 00:11:01,descarga de pescados
94,148,CG7403,2018-07-08 22:02:32,descarga de pescados
372,3,MO4425,2011-11-12 19:45:13,descarga de pescados
302,204,UH1378,2021-03-09 19:08:47,se debe descargar petroleo
355,147,YT2845,2010-05-19 14:17:18,descarga de pescados
514,119,DV6261,2018-07-01 13:26:15,descarga de pescados
488,89,VT2032,2012-06-08 21:05:11,descarga de pescados
537,153,PJ3020,2021-07-22 17:00:32,se debe cargar petroleo
498,123,YB1434,2017-03-02 11:32:05,descarga de pescados
453,42,QD4440,2014-10-27 04:15:48,se debe descargar petroleo
517,17,JD8184,2017-08-25 02:24:02,se debe cargar petroleo
499,132,GS7205,2018-10-08 01:43:35,descarga de pescados
485,160,LS5992,2014-06-08 12:23:31,descarga de pescados
523,193,KH8053,2019-01-17 08:45:59,descarga de pescados
515,86,BN3951,2014-03-13 17:17:39,carga de cointainers
233,145,IV2746,2013-08-18 23:22:03,se debe descargar petroleo
385,192,WC8293,2021-07-07 04:10:59,descarga de pescados
486,173,PA1651,2014-04-05 11:29:55,descarga de pescados
539,103,ON7101,2021-07-08 01:12:54,carga de cointainers
239,92,ST8633,2012-08-24 04:16:03,descarga de pescados
337,19,WC2925,2012-08-06 21:51:16,descarga de cointainers
390,161,IW2489,2019-06-02 04:32:37,descarga de pescados
522,14,UH1378,2019-08-02 19:14:01,se debe cargar petroleo
346,65,GT9752,2021-01-17 18:19:22,se debe descargar petroleo
541,149,PP3724,2013-02-04 01:35:43,se debe descargar petroleo
388,207,RH8308,2011-01-20 11:09:52,descarga de cointainers
424,68,EE2109,2014-02-10 16:41:30,carga de cointainers
433,28,IF9396,2010-10-15 06:52:13,se debe cargar petroleo
187,71,YW8268,2020-12-26 05:00:40,descarga de cointainers
330,115,PJ3020,2015-09-06 21:08:15,se debe descargar petroleo
152,129,YG2900,2018-06-12 17:19:21,descarga de cointainers
153,97,DT6703,2015-05-27 07:02:54,se debe cargar petroleo
532,0,KQ3854,2020-09-17 20:34:36,descarga de pescados
379,52,SG9128,2019-09-18 15:32:57,descarga de cointainers
521,37,NN2774,2020-11-09 07:12:28,descarga de cointainers
325,208,MU6547,2021-06-29 02:41:47,descarga de cointainers
253,206,RK2324,2015-12-30 21:05:41,se debe descargar petroleo
319,81,PZ3477,2014-11-18 00:27:58,descarga de cointainers
494,21,GJ5946,2017-03-08 17:47:08,carga de cointainers
489,211,OF1501,2021-04-06 00:21:38,descarga de pescados
534,125,AM9504,2014-03-22 19:05:39,descarga de cointainers
184,210,VT2032,2017-04-23 18:57:02,descarga de pescados
303,196,VI4743,2017-07-12 23:19:30,descarga de pescados
526,80,WX5990,2017-08-13 05:59:37,carga de cointainers
365,96,PB7290,2012-09-08 21:18:11,descarga de pescados
244,1,VY5330,2019-05-25 21:14:14,descarga de pescados
408,138,RQ2918,2012-05-28 04:12:50,descarga de pescados
542,77,AL1557,2015-04-14 00:14:04,descarga de cointainers
493,62,SV9482,2021-04-11 16:01:26,descarga de pescados
457,26,HI7513,2020-11-26 01:50:22,se debe descargar petroleo
506,130,EX4705,2010-12-17 10:28:04,se debe cargar petroleo
466,152,SM2508,2014-08-07 16:57:10,carga de cointainers
405,171,MJ4934,2018-07-12 02:12:58,descarga de pescados
477,141,CE1914,2012-05-30 19:26:13,se debe descargar petroleo
332,2,QL4591,2021-02-26 11:20:21,descarga de cointainers
398,200,QI7769,2013-08-08 13:53:47,se debe cargar petroleo
516,165,UO8744,2013-10-22 04:52:19,descarga de pescados
378,46,OO2266,2014-12-29 01:14:48,descarga de pescados
426,175,GT9752,2019-04-03 05:34:34,se debe descargar petroleo
409,107,GT9752,2018-10-26 15:00:03,se debe descargar petroleo
441,114,LF8633,2015-08-13 13:42:43,se debe descargar petroleo
454,106,OT5458,2010-11-16 20:32:30,descarga de cointainers
